neighborhood,time
"Athmar Park",712
"Athmar Park",06
"Athmar Park",7122010
"Athmar Park",062010
"Athmar Park",7122009
"Athmar Park",062009
"Athmar Park",7122008
"Athmar Park",062008
"Athmar Park",7122007
"Athmar Park",062007
"Athmar Park",7122006
"Athmar Park",062006
"Athmar Park",7122005
"Athmar Park",062005
Auraria,712
Auraria,06
Auraria,7122010
Auraria,062010
Auraria,7122009
Auraria,062009
Auraria,7122008
Auraria,062008
Auraria,7122007
Auraria,062007
Auraria,7122006
Auraria,062006
Auraria,7122005
Auraria,062005
Baker,712
Baker,06
Baker,7122010
Baker,062010
Baker,7122009
Baker,062009
Baker,7122008
Baker,062008
Baker,7122007
Baker,062007
Baker,7122006
Baker,062006
Baker,7122005
Baker,062005
Barnum,712
Barnum,06
Barnum,7122010
Barnum,062010
Barnum,7122009
Barnum,062009
Barnum,7122008
Barnum,062008
Barnum,7122007
Barnum,062007
Barnum,7122006
Barnum,062006
Barnum,7122005
Barnum,062005
"Barnum West",712
"Barnum West",06
"Barnum West",7122010
"Barnum West",062010
"Barnum West",7122009
"Barnum West",062009
"Barnum West",7122008
"Barnum West",062008
"Barnum West",7122007
"Barnum West",062007
"Barnum West",7122006
"Barnum West",062006
"Barnum West",7122005
"Barnum West",062005
"Bear Valley",712
"Bear Valley",06
"Bear Valley",7122010
"Bear Valley",062010
"Bear Valley",7122009
"Bear Valley",062009
"Bear Valley",7122008
"Bear Valley",062008
"Bear Valley",7122007
"Bear Valley",062007
"Bear Valley",7122006
"Bear Valley",062006
"Bear Valley",7122005
"Bear Valley",062005
Belcaro,712
Belcaro,06
Belcaro,7122010
Belcaro,062010
Belcaro,7122009
Belcaro,062009
Belcaro,7122008
Belcaro,062008
Belcaro,7122007
Belcaro,062007
Belcaro,7122006
Belcaro,062006
Belcaro,7122005
Belcaro,062005
Berkeley,712
Berkeley,06
Berkeley,7122010
Berkeley,062010
Berkeley,7122009
Berkeley,062009
Berkeley,7122008
Berkeley,062008
Berkeley,7122007
Berkeley,062007
Berkeley,7122006
Berkeley,062006
Berkeley,7122005
Berkeley,062005
"Capitol Hill",712
"Capitol Hill",06
"Capitol Hill",7122010
"Capitol Hill",062010
"Capitol Hill",7122009
"Capitol Hill",062009
"Capitol Hill",7122008
"Capitol Hill",062008
"Capitol Hill",7122007
"Capitol Hill",062007
"Capitol Hill",7122006
"Capitol Hill",062006
"Capitol Hill",7122005
"Capitol Hill",062005
CBD,712
CBD,06
CBD,7122010
CBD,062010
CBD,7122009
CBD,062009
CBD,7122008
CBD,062008
CBD,7122007
CBD,062007
CBD,7122006
CBD,062006
CBD,7122005
CBD,062005
"Chaffee Park",712
"Chaffee Park",06
"Chaffee Park",7122010
"Chaffee Park",062010
"Chaffee Park",7122009
"Chaffee Park",062009
"Chaffee Park",7122008
"Chaffee Park",062008
"Chaffee Park",7122007
"Chaffee Park",062007
"Chaffee Park",7122006
"Chaffee Park",062006
"Chaffee Park",7122005
"Chaffee Park",062005
"Cheesman Park",712
"Cheesman Park",06
"Cheesman Park",7122010
"Cheesman Park",062010
"Cheesman Park",7122009
"Cheesman Park",062009
"Cheesman Park",7122008
"Cheesman Park",062008
"Cheesman Park",7122007
"Cheesman Park",062007
"Cheesman Park",7122006
"Cheesman Park",062006
"Cheesman Park",7122005
"Cheesman Park",062005
"Cherry Creek",712
"Cherry Creek",06
"Cherry Creek",7122010
"Cherry Creek",062010
"Cherry Creek",7122009
"Cherry Creek",062009
"Cherry Creek",7122008
"Cherry Creek",062008
"Cherry Creek",7122007
"Cherry Creek",062007
"Cherry Creek",7122006
"Cherry Creek",062006
"Cherry Creek",7122005
"Cherry Creek",062005
"City Park",712
"City Park",06
"City Park",7122010
"City Park",062010
"City Park",7122009
"City Park",062009
"City Park",7122008
"City Park",062008
"City Park",7122007
"City Park",062007
"City Park",7122006
"City Park",062006
"City Park",7122005
"City Park",062005
"City Park West",712
"City Park West",06
"City Park West",7122010
"City Park West",062010
"City Park West",7122009
"City Park West",062009
"City Park West",7122008
"City Park West",062008
"City Park West",7122007
"City Park West",062007
"City Park West",7122006
"City Park West",062006
"City Park West",7122005
"City Park West",062005
"Civic Center",712
"Civic Center",06
"Civic Center",7122010
"Civic Center",062010
"Civic Center",7122009
"Civic Center",062009
"Civic Center",7122008
"Civic Center",062008
"Civic Center",7122007
"Civic Center",062007
"Civic Center",7122006
"Civic Center",062006
"Civic Center",7122005
"Civic Center",062005
Clayton,712
Clayton,06
Clayton,7122010
Clayton,062010
Clayton,7122009
Clayton,062009
Clayton,7122008
Clayton,062008
Clayton,7122007
Clayton,062007
Clayton,7122006
Clayton,062006
Clayton,7122005
Clayton,062005
Cole,712
Cole,06
Cole,7122010
Cole,062010
Cole,7122009
Cole,062009
Cole,7122008
Cole,062008
Cole,7122007
Cole,062007
Cole,7122006
Cole,062006
Cole,7122005
Cole,062005
"College View / South Platte",712
"College View / South Platte",06
"College View / South Platte",7122010
"College View / South Platte",062010
"College View / South Platte",7122009
"College View / South Platte",062009
"College View / South Platte",7122008
"College View / South Platte",062008
"College View / South Platte",7122007
"College View / South Platte",062007
"College View / South Platte",7122006
"College View / South Platte",062006
"College View / South Platte",7122005
"College View / South Platte",062005
"Congress Park",712
"Congress Park",06
"Congress Park",7122010
"Congress Park",062010
"Congress Park",7122009
"Congress Park",062009
"Congress Park",7122008
"Congress Park",062008
"Congress Park",7122007
"Congress Park",062007
"Congress Park",7122006
"Congress Park",062006
"Congress Park",7122005
"Congress Park",062005
"Cory - Merrill",712
"Cory - Merrill",06
"Cory - Merrill",7122010
"Cory - Merrill",062010
"Cory - Merrill",7122009
"Cory - Merrill",062009
"Cory - Merrill",7122008
"Cory - Merrill",062008
"Cory - Merrill",7122007
"Cory - Merrill",062007
"Cory - Merrill",7122006
"Cory - Merrill",062006
"Cory - Merrill",7122005
"Cory - Merrill",062005
"Country Club",712
"Country Club",06
"Country Club",7122010
"Country Club",062010
"Country Club",7122009
"Country Club",062009
"Country Club",7122008
"Country Club",062008
"Country Club",7122007
"Country Club",062007
"Country Club",7122006
"Country Club",062006
"Country Club",7122005
"Country Club",062005
DIA,712
DIA,06
DIA,7122010
DIA,062010
DIA,7122009
DIA,062009
DIA,7122008
DIA,062008
DIA,7122007
DIA,062007
DIA,7122006
DIA,062006
DIA,7122005
DIA,062005
"East Colfax",712
"East Colfax",06
"East Colfax",7122010
"East Colfax",062010
"East Colfax",7122009
"East Colfax",062009
"East Colfax",7122008
"East Colfax",062008
"East Colfax",7122007
"East Colfax",062007
"East Colfax",7122006
"East Colfax",062006
"East Colfax",7122005
"East Colfax",062005
"Elyria Swansea",712
"Elyria Swansea",06
"Elyria Swansea",7122010
"Elyria Swansea",062010
"Elyria Swansea",7122009
"Elyria Swansea",062009
"Elyria Swansea",7122008
"Elyria Swansea",062008
"Elyria Swansea",7122007
"Elyria Swansea",062007
"Elyria Swansea",7122006
